,id,conversation_id,created_at,date,tweet,language,hashtags,user_id,username,name,day,hour,link,urls,photos,video,retweet,nlikes,nreplies,nretweets,reply_to,time,vader_neg,vader_neu,vader_pos,vader_compound
1768,1324654027976568832,1324654027976568832,1604657105000.0,2020-11-06,"JUST IN: Budget 2021: 200,000 job opportunities under Penjana Kerjaya    #TMRNews #TMRPhoto #Budget2021 #Belanjawan2021    https://t.co/GkVmG05Bc5",en,"['tmrnews', 'tmrphoto', 'budget2021', 'belanjawan2021']",293590755,TMReserve,TheMalaysianReserve,5,10,https://twitter.com/TMReserve/status/1324654027976568832,['https://themalaysianreserve.com/2020/11/06/budget-2021-200000-job-opportunities-under-penjana-kerjaya/'],[],0,False,1,0,1,[],10:05:05,0.0,0.843,0.157,0.3818
1770,1324653977657487363,1324633440084320256,1604657093000.0,2020-11-06,"Budget 2021 : RM150 million for KPT-PACE programme offering RM3,000 vouchers to new graduates for professional courses  @tzafrul_aziz @MOFmalaysia  #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/1PW1ZPLXmi",en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,10,https://twitter.com/bernamadotcom/status/1324653977657487363,[],['https://pbs.twimg.com/media/EmIdw9_VoAEDcRW.png'],1,False,13,0,10,[],10:04:53,0.0,1.0,0.0,0.0
1772,1324653767145345026,1324630002919383040,1604657043000.0,2020-11-06,18:03: Employment opportunities will be provided to 500 people from the local community and the Orang Asli as tourist guides at all national parks to spur the ecotourism segment.  #Budget2021 #Belanjawan2021,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,10,https://twitter.com/staronline/status/1324653767145345026,[],[],0,False,26,1,10,[],10:04:03,0.0,0.92,0.08,0.3818
1773,1324653707829497857,1324653707829497857,1604657029000.0,2020-11-06,"#NSTnation From these schemes, RM500 million will be allocated to Bumiputera entrepreneurs to increase involvement in key sectors.  #Technology #Budget2021 #Belanjawan2021 #Bajet2021   https://t.co/mrZrnnR7wy",en,"['nstnation', 'technology', 'budget2021', 'belanjawan2021', 'bajet2021']",55186601,NST_Online,New Straits Times,5,10,https://twitter.com/NST_Online/status/1324653707829497857,['https://www.nst.com.my/news/government-public-policy/2020/11/638782/2021-budget-rm1b-technology-high-value-added'],[],0,False,3,0,2,[],10:03:49,0.0,0.905,0.095,0.3182
1781,1324653500995792896,1324653500995792896,1604656980000.0,2020-11-06,"GLIC and GLC will contribute RM150 million into the Cerdik Fund for a pilot project to provide laptops to 150,000 students under the supervision of Yayasan Hasanah  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,10,https://twitter.com/TMReserve/status/1324653500995792896,[],[],0,False,0,0,0,[],10:03:00,0.0,1.0,0.0,0.0
1785,1324653379771985920,1324653379771985920,1604656951000.0,2020-11-06,"#NSTnation RM1.3 billion would be allocated for a 920km road network to benefit over 290,000 people.  #Budget2021 #Belanjawan2021 #Bajet2021    https://t.co/xbvZxIw18A",en,"['nstnation', 'budget2021', 'belanjawan2021', 'bajet2021']",55186601,NST_Online,New Straits Times,5,10,https://twitter.com/NST_Online/status/1324653379771985920,['https://www.nst.com.my/news/government-public-policy/2020/11/638778/2021-budget-rm27b-allocated-rural-infrastructure'],[],0,False,5,0,3,[],10:02:31,0.0,0.857,0.143,0.4588
1786,1324653365364547588,1324653365364547588,1604656947000.0,2020-11-06,MCMC to allocate RM7.4 billion for 2021 and 2022 to expand broadband network; govt to allocate another RM500 million for Jendela to ensure connectivity at 430 schools  #Belanjawan2021 #Budget2021,en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,10,https://twitter.com/TMReserve/status/1324653365364547588,[],[],0,False,0,0,0,[],10:02:27,0.0,0.846,0.154,0.5994
1794,1324652914074218497,1324652914074218497,1604656840000.0,2020-11-06,"#Budget2021 Traders in Sabah to get RM1,000 under the Special Prihatin Additional Grant. This grant is also extended to taxi drivers, e-hailing drivers, rental car drivers and tour guides in the state. - Finance Minister  #Belanjawan2021 #Bajet2021 #NSTbudget2021",en,"['budget2021', 'belanjawan2021', 'bajet2021', 'nstbudget2021']",55186601,NST_Online,New Straits Times,5,10,https://twitter.com/NST_Online/status/1324652914074218497,[],[],0,False,7,0,2,[],10:00:40,0.0,0.815,0.185,0.7717
1795,1324652844213956608,1324633440084320256,1604656823000.0,2020-11-06,Budget 2021: RM100 million for HRDF to implement training and job creation in cooperation with the private sector  @tzafrul_aziz @MOFmalaysia  #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/h8LodgBI6b,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,10,https://twitter.com/bernamadotcom/status/1324652844213956608,[],['https://pbs.twimg.com/media/EmIcuUXVMAMAJfv.jpg'],1,False,13,1,5,[],10:00:23,0.0,0.92,0.08,0.2732
1803,1324652590148153345,1324630002919383040,1604656763000.0,2020-11-06,17:58: The Malaysian Sustainable Palm Oil (MSPO) Certification Scheme will be continued with RM20mil to boost the growth of the country's palm oil sector. A matching grant of RM30mil to encourage investments will be introduced.  #Budget2021 #Belanjawan2021,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324652590148153345,[],[],0,False,7,1,3,[],09:59:23,0.0,0.742,0.258,0.8779
1809,1324652446187057152,1324652168893222912,1604656728000.0,2020-11-06,Lifestyle income tax relief also extended to electronic newspaper subscriptions  #Belanjawan2021 #Budget2021,en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324652446187057152,[],[],0,False,1,0,1,[],09:58:48,0.0,0.78,0.22,0.4767
1810,1324652343783120897,1324633440084320256,1604656704000.0,2020-11-06,"RM100 million from the PRIHATIN sukuk subscription will be allocated for research on infectious diseases, including vaccine developments, studies on treatments and diagnostics.  @tzafrul_aziz @MOFmalaysia  #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/NFFRzqFW3g",en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,9,https://twitter.com/bernamadotcom/status/1324652343783120897,[],['https://pbs.twimg.com/media/EmIcQqOUYAAhG0I.jpg'],1,False,10,1,6,[],09:58:24,0.0,1.0,0.0,0.0
1815,1324652168893222912,1324652168893222912,1604656662000.0,2020-11-06,"The income tax relief limit for lifestyle expenses to be raised to RM3,000 with an additional RM500 specifically for sports-related expenses including sports competition participation fees  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324652168893222912,[],[],0,False,1,1,2,[],09:57:42,0.0,0.897,0.103,0.4767
1818,1324651978585042944,1324630002919383040,1604656617000.0,2020-11-06,17:56: RM35mil will be allocated to promote Malaysian-made goods and services under the trade and investment mission.  #Budget2021 #Belanjawan2021,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324651978585042944,[],[],0,False,5,1,3,[],09:56:57,0.0,0.874,0.126,0.3818
1821,1324651913267220486,1324651913267220486,1604656601000.0,2020-11-06,"Govt to allocate RM55 million for hockey, rugby, badminton, cycling, female athlete development programmes including RM15 million for e-Sports development  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324651913267220486,[],[],0,False,0,0,0,[],09:56:41,0.0,1.0,0.0,0.0
1825,1324651708979372032,1324651708979372032,1604656552000.0,2020-11-06,"Govt to allocate RM75 million for eBelia Programme, where one-off RM50 will be credited into e-wallet accounts of youths aged 18-20 to cultivate a cashless economy  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324651708979372032,[],[],0,False,0,0,0,[],09:55:52,0.0,0.912,0.088,0.3612
1829,1324651522991423489,1324651522991423489,1604656508000.0,2020-11-06,"#NSTnation ""To balance between the responsibility of protecting the people and ensuring economic sustainability, the government had to act fast.""   https://t.co/StMNFOOZab  #NSTbudget2021 #Budget2021 #Belanjawan2021 #Bajet2021 #MCO #Covid19",en,"['nstnation', 'nstbudget2021', 'budget2021', 'belanjawan2021', 'bajet2021', 'mco', 'covid19']",55186601,NST_Online,New Straits Times,5,9,https://twitter.com/NST_Online/status/1324651522991423489,['https://www.nst.com.my/news/government-public-policy/2020/11/638776/peoples-health-security-given-priority-when-covid-19'],[],0,False,0,0,0,[],09:55:08,0.0,0.925,0.075,0.2732
1836,1324651216035459072,1324630002919383040,1604656435000.0,2020-11-06,17:53: The National Development Scheme (NDS) worth RM1.4bil will be allocated to support the implementation of domestic supply chain development and increase the production of local products such as medical equipment.  #Budget2021 #Belanjawan2021,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324651216035459072,[],[],0,False,9,1,1,[],09:53:55,0.0,0.813,0.187,0.7096
1838,1324651159978532864,1324651159978532864,1604656422000.0,2020-11-06,"Private employers to receive RM1,000/month up to 3 months for each new graduate participating in apprenticeship programme. Employers can also claim grant up to RM4,000 for an apprenticeship training programme   #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324651159978532864,[],[],0,False,0,0,0,[],09:53:42,0.0,0.923,0.077,0.3612
1840,1324651058535165952,1324633440084320256,1604656397000.0,2020-11-06,"Budget 2021: Formation of National Employment Council to coordinate initiatives to create job opportunities, upskilling and trainings  @tzafrul_aziz @MOFmalaysia  #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/0QQyfTCjOr",en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,9,https://twitter.com/bernamadotcom/status/1324651058535165952,[],['https://pbs.twimg.com/media/EmIbG9FU0AEh2Z3.jpg'],1,False,6,1,4,[],09:53:17,0.0,0.824,0.176,0.5719
1849,1324650753869324289,1324650753869324289,1604656325000.0,2020-11-06,Govt to provide RM10 million for cervical cancer screening programme and mammogram test subsidy incentives for women at high risk of breast cancer  #Belanjawan2021 #Budget2021,en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324650753869324289,[],[],0,False,3,0,2,[],09:52:05,0.319,0.614,0.067,-0.8625
1853,1324650591293898753,1324630002919383040,1604656286000.0,2020-11-06,"17:51: RM24mil has been allocated for a Socso disaster scheme that is expected to benefit 100,000 workers, including delivery drivers and contractual civil service workers.  #Budget2021 #Belanjawan2021",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324650591293898753,[],[],0,False,10,1,0,[],09:51:26,0.132,0.772,0.096,-0.2732
1856,1324650507781066753,1324630002919383040,1604656266000.0,2020-11-06,"17:50: Four glove manufacturers - Top Glove, Hartalega, Supermax and Kossan have committed to contribute RM400mil to battle Covid-19, including bearing the cost of the Covid-19 vaccine and health equipment.  #Budget2021 #Belanjawan2021",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324650507781066753,[],[],0,False,36,1,15,[],09:51:06,0.075,0.812,0.113,0.0772
1859,1324650396313292801,1324650396313292801,1604656239000.0,2020-11-06,"Govt to allocate RM21 million for social support centres which provide protection and support to women, especially in the face of domestic violence, divorce and abuse  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324650396313292801,[],[],0,False,4,0,0,[],09:50:39,0.22,0.637,0.143,-0.5994
1863,1324650241333710853,1324650241333710853,1604656203000.0,2020-11-06,"#Budget2021 Top Glove, Hartalega, Supermax and Kossan pledged commitment to contribute RM400 million to fight Covid-19, including to help cover part of the cost for a vaccine. - Finance Minister  #Belanjawan2021 #Bajet2021 #NSTbudget2021",en,"['budget2021', 'belanjawan2021', 'bajet2021', 'nstbudget2021']",55186601,NST_Online,New Straits Times,5,9,https://twitter.com/NST_Online/status/1324650241333710853,[],[],0,False,42,1,16,[],09:50:03,0.071,0.736,0.193,0.5423
1866,1324650121485672450,1324630002919383040,1604656174000.0,2020-11-06,17:49: RM500mil High Technology Fund will be provided by Bank Negara to support high tech and innovative sector companies.  #Budget2021 #Belanjawan2021,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324650121485672450,[],[],0,False,3,1,4,[],09:49:34,0.0,0.772,0.228,0.6808
1868,1324650072668213249,1324650072668213249,1604656162000.0,2020-11-06,"#NSTnation ""The programme will be extended especially for the tourism as well as the retail sectors, in which RM600 will be given to those earning RM4,000 and below.""   https://t.co/amJ80Scfel  #NSTbudget2021 #Budget2021 #Belanjawan2021 #Bajet2021 #WageSubsidyProgramme",en,"['nstnation', 'nstbudget2021', 'budget2021', 'belanjawan2021', 'bajet2021', 'wagesubsidyprogramme']",55186601,NST_Online,New Straits Times,5,9,https://twitter.com/NST_Online/status/1324650072668213249,['https://www.nst.com.my/news/government-public-policy/2020/11/638772/3-months-added-wage-subsidy-programme'],[],0,False,5,0,0,[],09:49:22,0.0,0.94,0.06,0.2732
1877,1324649755494895617,1324649755494895617,1604656087000.0,2020-11-06,"#Budget2021 To encourage parents to save for their children’s education, RM8k tax exemption for nett savings under the National Education Savings Scheme to be extended until assessment year 2022. - Finance Minister  #Belanjawan2021 #Bajet2021 #NSTbudget2021",en,"['budget2021', 'belanjawan2021', 'bajet2021', 'nstbudget2021']",55186601,NST_Online,New Straits Times,5,9,https://twitter.com/NST_Online/status/1324649755494895617,[],[],0,False,8,0,5,[],09:48:07,0.0,0.831,0.169,0.7579
1878,1324649743486611456,1324649162239959046,1604656084000.0,2020-11-06,Empowering Bumiputera entrepreneurs: RM800 million through capacity building programmes by BPMB and SME Bank  #Belanjawan2021 #Budget2021,en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324649743486611456,[],[],0,False,0,0,0,[],09:48:04,0.0,1.0,0.0,0.0
1883,1324649623928008704,1324630002919383040,1604656055000.0,2020-11-06,17:46: RM1bil will be provided as a technology and high value investment incentive package.  #Budget2021 #Belanjawan2021,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324649623928008704,[],[],0,False,5,1,2,[],09:47:35,0.0,0.726,0.274,0.5994
1884,1324649569578201093,1324633440084320256,1604656042000.0,2020-11-06,"Budget 2021: RM3.7 billion allocation under Janakerja to create 500,000 new jobs  @tzafrul_aziz @MOFmalaysia  #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/uH8jqQid7b",en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,9,https://twitter.com/bernamadotcom/status/1324649569578201093,[],['https://pbs.twimg.com/media/EmIZwQDVkAIIv3f.jpg'],1,False,19,1,10,[],09:47:22,0.0,0.896,0.104,0.2732
1885,1324649528314617856,1324649162239959046,1604656033000.0,2020-11-06,"Empowering Bumiputera entrepreneurs: RM510 million to be channelled for financing to Bumiputera SMEs and micro SMEs through TEKUN, PUNB and Agrobank  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324649528314617856,[],[],0,False,1,1,1,[],09:47:13,0.0,1.0,0.0,0.0
1888,1324649510362968064,1324649510362968064,1604656028000.0,2020-11-06,JUST IN: Budget 2021: No extension for loan moratorium   #Budget2021 #Belanjawan2021 #TMRNews #TMRPhoto    https://t.co/zlOTakoWBP,en,"['budget2021', 'belanjawan2021', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324649510362968064,['https://themalaysianreserve.com/2020/11/06/budget-2021-no-extension-for-loan-moratorium/'],[],0,False,32,2,68,[],09:47:08,0.145,0.855,0.0,-0.296
1894,1324649322563039232,1324649162239959046,1604655983000.0,2020-11-06,"For Bumiputera education, RM6.5 billion will be for access to quality education to Bumiputera institutions like MARA and UiTM  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324649322563039232,[],[],0,False,0,1,0,[],09:46:23,0.0,0.889,0.111,0.3612
1895,1324649277696585730,1324630002919383040,1604655973000.0,2020-11-06,"17:45: The Defence Ministry and the Home Ministry will be allocated RM16bil and RM17bil, respectively.  #Budget2021 #Belanjawan2021",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324649277696585730,[],[],0,False,3,1,1,[],09:46:13,0.0,0.798,0.202,0.4215
1898,1324649162239959046,1324649162239959046,1604655945000.0,2020-11-06,"Govt to continue supporting Bumiputera development to reduce racial inequality with an allocation of RM11.1 billion, including RM6.5 billion for education and RM4.6 billion for entrepreneurship  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324649162239959046,[],[],0,False,0,1,2,[],09:45:45,0.0,0.903,0.097,0.4404
1900,1324649083122843648,1324630002919383040,1604655926000.0,2020-11-06,17:44: RM27mil will be allocated to CyberSecurity Malaysia to improve the cyber security safety of the country.  #Budget2021 #Belanjawan2021,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324649083122843648,[],[],0,False,10,1,3,[],09:45:26,0.0,0.664,0.336,0.7964
1903,1324649033491603456,1324630002919383040,1604655915000.0,2020-11-06,"17:44: To ensure students at higher learning institutions (IPT) on PTPTN loans are able to follow online classes, the government will work with BSN to ready RM100mil to finance Skim BSN MyRInggit-i COMSIS, a laptop computer loan scheme.  #Budget2021 #Belanjawan2021",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324649033491603456,[],[],0,False,28,1,17,[],09:45:15,0.0,0.879,0.121,0.6249
1908,1324648800896524290,1324648800896524290,1604655859000.0,2020-11-06,"Individual income tax relief of up to RM3,000 on PRS contributions is extended until the year of assessment 2025  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324648800896524290,[],[],0,False,1,0,4,[],09:44:19,0.0,0.866,0.134,0.4767
1911,1324648661775577091,1324648661775577091,1604655826000.0,2020-11-06,#Budget2021 EPF contributors will be allowed to withdraw from Account 2 to purchase insurance coverage and life takaful plans for themselves and their family members. - Finance Minister  #Belanjawan2021 #Bajet2021 #NSTbudget2021,en,"['budget2021', 'belanjawan2021', 'bajet2021', 'nstbudget2021']",55186601,NST_Online,New Straits Times,5,9,https://twitter.com/NST_Online/status/1324648661775577091,[],[],0,False,6,0,13,[],09:43:46,0.0,1.0,0.0,0.0
1913,1324648561238179843,1324648561238179843,1604655802000.0,2020-11-06,EPF contributors can withdraw their Account 2 savings to purchase life insurance/ critical takaful and critical illness products approved by the EPF  #Belanjawan2021 #Budget2021,en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324648561238179843,[],[],0,False,0,0,1,[],09:43:22,0.251,0.653,0.096,-0.5423
1919,1324648237018476544,1324630002919383040,1604655725000.0,2020-11-06,"17:41: To encourage parents to save for the costs of their children’s higher education fees, a tax relief of up to RM8.000 for National Education Savings Scheme (SSPN) net savings will be implemented until assessment year 2022.  #Budget2021 #Belanjawan2021",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324648237018476544,[],[],0,False,15,1,10,[],09:42:05,0.0,0.785,0.215,0.8625
1920,1324648186972000256,1324633440084320256,1604655713000.0,2020-11-06,"Budget 2021 : RM400 million to dispose FELDA settlers' loan interest, new income development programme  @tzafrul_aziz @MOFmalaysia  #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/IFdq3MfSL7",en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,9,https://twitter.com/bernamadotcom/status/1324648186972000256,[],['https://pbs.twimg.com/media/EmIYfw1U0AAX4VA.jpg'],1,False,14,1,6,[],09:41:53,0.0,0.87,0.13,0.4588
1921,1324648130835460097,1324648130835460097,1604655699000.0,2020-11-06,"#Budget2021 Education Ministry remains the biggest recipient of funds, with an allocation of RM50.4 billion, or 15.6 per cent of the govt’s overall budget. - Finance Minister  #Belanjawan2021 #Bajet2021 #NSTbudget2021",en,"['budget2021', 'belanjawan2021', 'bajet2021', 'nstbudget2021']",55186601,NST_Online,New Straits Times,5,9,https://twitter.com/NST_Online/status/1324648130835460097,[],[],0,False,6,0,2,[],09:41:39,0.0,1.0,0.0,0.0
1926,1324648045359714305,1324647846843355136,1604655679000.0,2020-11-06,Extended Wage Subsidy Programme: The limit of 200 employees per application will be increased to 500 employees for larger companies under the tourism sector  #Belanjawan2021 #Budget2021,en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324648045359714305,[],[],0,False,0,0,0,[],09:41:19,0.0,0.923,0.077,0.2732
1930,1324647846843355136,1324647846843355136,1604655632000.0,2020-11-06,"Govt to allocate RM1.5 billion for the extension of the Wage Subsidy Programme for 3 more months for the tourism and retail sectors at a rate of RM600/ month for employees earning RM4,000 and below  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324647846843355136,[],[],0,False,1,1,1,[],09:40:32,0.0,1.0,0.0,0.0
1938,1324647557444767745,1324630002919383040,1604655563000.0,2020-11-06,"(...)  Under this initiative, 35,000 jobs in the civil service will be offered, with a priority given to vacancies such as nurses and medical attendants. The GLCs will provide 15,000 jobs with a priority on technical and financial fields.  #Budget2021 #Belanjawan2021",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324647557444767745,[],[],0,False,7,1,3,[],09:39:23,0.0,1.0,0.0,0.0
1939,1324647447499476993,1324630002919383040,1604655536000.0,2020-11-06,17:38: Some RM14.4bil will be allocated to the Higher Education Ministry. This would include RM50mil to repair infrastructure and old equipment in public universities.  #Budget2021 #Belanjawan2021,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324647447499476993,[],[],0,False,6,1,5,[],09:38:56,0.0,1.0,0.0,0.0
1941,1324647399382343680,1324630002919383040,1604655525000.0,2020-11-06,"17:37: Full stamp duty exemption will be given to transfer of ownership document and loan agreement for the purchase of a first home worth not more than RM500,000. This exemption will be for the purchase agreement from January 2021 to Dec 31, 2025.  #Budget2021 #Belanjawan2021",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324647399382343680,[],[],0,False,33,1,29,[],09:38:45,0.0,0.832,0.168,0.8074
1942,1324647392465936384,1324647392465936384,1604655523000.0,2020-11-06,#Budget2021 Wage Subsidy Programme extended 3 more months. - Finance Minister  #Belanjawan2021 #Bajet2021 #NSTbudget2021,en,"['budget2021', 'belanjawan2021', 'bajet2021', 'nstbudget2021']",55186601,NST_Online,New Straits Times,5,9,https://twitter.com/NST_Online/status/1324647392465936384,[],[],0,False,2,0,1,[],09:38:43,0.0,1.0,0.0,0.0
1948,1324647221015400453,1324647221015400453,1604655482000.0,2020-11-06,#NSTnation The government will continue providing the employment initiative or PenjanaKerjaya under the Social Security Organisation (Socso) next year.  #Budget2021 #Belanjawan2021 #Bajet2021 #Penjana #PenjanaKerjaya    https://t.co/P4w7EqPyAi,en,"['nstnation', 'budget2021', 'belanjawan2021', 'bajet2021', 'penjana', 'penjanakerjaya']",55186601,NST_Online,New Straits Times,5,9,https://twitter.com/NST_Online/status/1324647221015400453,['https://www.nst.com.my/news/government-public-policy/2020/11/638770/improvements-penjanakerjaya'],[],0,False,4,0,1,[],09:38:02,0.0,0.909,0.091,0.34
1949,1324647108608028672,1324647108608028672,1604655456000.0,2020-11-06,"#NSTnation The government will allocate RM6.5 billion to improve education at #Bumiputera institutions, namely #Mara and #UiTM.   https://t.co/jSDoBPwYyN  #NSTbudget2021 #Budget2021 #Belanjawan2021 #Bajet2021",en,"['nstnation', 'bumiputera', 'mara', 'uitm', 'nstbudget2021', 'budget2021', 'belanjawan2021', 'bajet2021']",55186601,NST_Online,New Straits Times,5,9,https://twitter.com/NST_Online/status/1324647108608028672,['https://www.nst.com.my/news/government-public-policy/2020/11/638768/more-funds-bumiputera-education-institutions'],[],0,False,18,1,12,[],09:37:36,0.0,0.879,0.121,0.4404
1953,1324647053457199111,1324647053457199111,1604655442000.0,2020-11-06,"Govt to form the National Employment Council, to be chaired by the PM to coordinate initiatives across ministries and agencies to create employment, improve skills and train employees  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324647053457199111,[],[],0,False,0,0,0,[],09:37:22,0.0,0.848,0.152,0.6124
1955,1324647021622386689,1324630002919383040,1604655435000.0,2020-11-06,"17:36: To ensure stable internet connection in tertiary education institutions, the government has allocated RM50mil to upgrade the Malaysian Research and Education Network (MYREN) access from 500Mbps to 10Gbps.  #Budget2021 #Belanjawan2021",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324647021622386689,[],[],0,False,60,1,22,[],09:37:15,0.0,0.858,0.142,0.5859
1961,1324646854831661058,1324630002919383040,1604655395000.0,2020-11-06,"17:35: In the new normal, online learning has become an everyday practice. GLCs and GLICs will contribute RM150mil to Tabung Cerdik to give laptops to 150,000 students at 500 schools in a pilot project. The project will be overseen by Yayasan Hasanah.  #Budget2021 #Belanjawan2021",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,9,https://twitter.com/staronline/status/1324646854831661058,[],[],0,False,38,2,11,[],09:36:35,0.0,1.0,0.0,0.0
1967,1324646718785290240,1324645593117945856,1604655363000.0,2020-11-06,"PenjanaKerjaya: An additional incentive of 40% of workers' salaries will be channelled to employers, and 20% to be channelled directly to local workers replacing foreign workers in construction and plantation  #Belanjawan2021 #Budget2021",en,"['belanjawan2021', 'budget2021']",293590755,TMReserve,TheMalaysianReserve,5,9,https://twitter.com/TMReserve/status/1324646718785290240,[],[],0,False,0,0,0,[],09:36:03,0.0,0.925,0.075,0.3612
1968,1324646611750854656,1324633440084320256,1604655337000.0,2020-11-06,"Budget 2021: RM1.7 billion in subsidy and incentive assistance for farmers and fishermen, fishermen's cost of living allowance raised to RM300  @tzafrul_aziz @MOFmalaysia  #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/R9eaahZHiy",en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,9,https://twitter.com/bernamadotcom/status/1324646611750854656,[],"['https://pbs.twimg.com/media/EmIXC1YVgAAjZ0N.jpg', 'https://pbs.twimg.com/media/EmIXDPFVkAAOV2q.jpg']",1,False,34,1,8,[],09:35:37,0.0,0.915,0.085,0.3612
