,id,conversation_id,created_at,date,tweet,language,hashtags,user_id,username,name,day,hour,link,urls,photos,video,retweet,nlikes,nreplies,nretweets,reply_to,time,vader_neg,vader_neu,vader_pos,vader_compound
1404,1324682084221333505,1324682084221333505,1604663794000.0,2020-11-06,"The one-off payment will benefit 100,000 Health Ministry frontliners. #Budget2021 #Belanjawan2021  https://t.co/IJT7wrtfPr",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,11,https://twitter.com/staronline/status/1324682084221333505,['https://www.thestar.com.my/news/nation/2020/11/06/budget-2021-health-ministry-frontliners-to-get-rm500-one-off-payment'],[],0,False,10,3,2,[],11:56:34,0.0,0.786,0.214,0.4588
1406,1324681856277651456,1324681856277651456,1604663740000.0,2020-11-06,Budget 2021: RM600 special payment for civil servants   @tzafrul_aziz @MOFmalaysia  #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21   https://t.co/jye650laPo  https://t.co/PQAusqJocw,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324681856277651456,['https://www.bernama.com/en/general/news.php?id=1898056#.X6U5W4KUNjM.twitter'],['https://pbs.twimg.com/media/EmI2xTGU8AA2sRO.jpg'],1,False,3,0,1,[],11:55:40,0.0,0.847,0.153,0.4019
1408,1324681721816719363,1324681721816719363,1604663708000.0,2020-11-06,"Increased funding for Citizen Activity Centres from RM33,000 a year to RM50,000, among many others. #Budget2021 #Belanjawan2021  https://t.co/DpSXFn6KJD",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,11,https://twitter.com/staronline/status/1324681721816719363,['https://www.thestar.com.my/lifestyle/family/2020/11/06/budget-2021-kinder-to-senior-citizens'],[],0,False,1,1,1,[],11:55:08,0.0,0.884,0.116,0.2732
1409,1324681721124544512,1324681721124544512,1604663708000.0,2020-11-06,"#NSTnation ""On behalf of Malaysia Healthcare Travel Council (MHTC), we are immensely humbled to receive the Government's support of RM35 million as announced in the recent #Budget2021.""  #NSTbudget2021  #Belanjawan2021 #Bajet2021   https://t.co/Nszffkgt1F",en,"['nstnation', 'budget2021', 'nstbudget2021', 'belanjawan2021', 'bajet2021']",55186601,NST_Online,New Straits Times,5,11,https://twitter.com/NST_Online/status/1324681721124544512,['https://www.nst.com.my/news/nation/2020/11/638822/mhtc-pleased-budget-2021-allocation'],[],0,False,4,0,1,[],11:55:08,0.0,0.917,0.083,0.4019
1415,1324680726902530048,1324633440084320256,1604663471000.0,2020-11-06,Budget 2021: Government pensioners and non-pensionable veterans will get Special Finance Assistance of RM300 each  @tzafrul_aziz @MOFmalaysia #BudgetDay  #Belanjawan2021 #BernamaBudget21,en,"['budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324680726902530048,[],[],0,False,1,0,0,[],11:51:11,0.0,0.876,0.124,0.4019
1416,1324680497142788097,1324633440084320256,1604663416000.0,2020-11-06,"Budget 2021: One-off grant of RM500 each for 40,000 police retirees awarded Pingat Jasa Pahlawan Negara  @tzafrul_aziz @MOFmalaysia #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/3HYkkzpvAj",en,"['budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324680497142788097,[],['https://pbs.twimg.com/media/EmI14aOU8AE_14J.jpg'],1,False,5,1,2,[],11:50:16,0.0,0.794,0.206,0.6369
1417,1324680437776715777,1324680437776715777,1604663402000.0,2020-11-06,RM150 million has been allocated to a Shop Malaysia Online programme together with the e-commerce platform. #Budget2021 #Belanjawan2021  https://t.co/8JR5OmVMVc,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,11,https://twitter.com/staronline/status/1324680437776715777,['https://www.thestar.com.my/lifestyle/style/2020/11/06/budget-2021-malaysian-fashion-industry-welcomes-shop-malaysia-online-allocation'],[],0,False,5,0,2,[],11:50:02,0.0,1.0,0.0,0.0
1418,1324680272172908545,1324633440084320256,1604663362000.0,2020-11-06,Budget 2021: RM50 million for maintaining and upgrading tourism facilities nationwide  @tzafrul_aziz @MOFmalaysia #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/rITP8OszBb,en,"['budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324680272172908545,[],['https://pbs.twimg.com/media/EmI1rlWVkAYXTGh.jpg'],1,False,2,1,0,[],11:49:22,0.0,1.0,0.0,0.0
1419,1324680017754742784,1324633440084320256,1604663302000.0,2020-11-06,"Budget 2021: RM50 million for training and re-emplacement of 8,000 airline workers in Malaysia  @tzafrul_aziz @MOFmalaysia #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/2izU53e2Hw",en,"['budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324680017754742784,[],"['https://pbs.twimg.com/media/EmI1bItU8AAzsr-.jpg', 'https://pbs.twimg.com/media/EmI1cI5VkAEhoVj.jpg']",1,False,20,3,8,[],11:48:22,0.0,1.0,0.0,0.0
1422,1324679330446757888,1324633440084320256,1604663138000.0,2020-11-06,"#Budget2021: RM500 million to build 14,000 PPR units; RM315 million for Rumah Mesra Rakyat units; RM125 million to maintain low and medium cost housing; RM310 million for Civil Servants Housing Programme  @tzafrul_aziz @MOFmalaysia #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/V1PvYnvNw3",en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324679330446757888,[],['https://pbs.twimg.com/media/EmI00uEUcAAfydx.jpg'],1,False,8,1,5,[],11:45:38,0.055,0.945,0.0,-0.2732
1424,1324679181989519366,1324679181989519366,1604663102000.0,2020-11-06,RM50mil investment will be made under the budget to mirror private investments in the platforms. #Budget2021 #Belanjawan2021  https://t.co/vNIXtBRw1v,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,11,https://twitter.com/staronline/status/1324679181989519366,['https://www.thestar.com.my/tech/tech-news/2020/11/06/budget-2021-rm80mil-allocated-for-alternative-investment-platforms-ecf-and-p2p'],[],0,False,1,0,1,[],11:45:02,0.0,1.0,0.0,0.0
1426,1324678803268931584,1324633440084320256,1604663012000.0,2020-11-06,"Budget 2021: RM725 million for infrastructure upgrade of 50 dilapidated schools, RM45 million to strengthen special education  @tzafrul_aziz @MOFmalaysia #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/pD9TvMpy3W",en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324678803268931584,[],['https://pbs.twimg.com/media/EmI0WAvVcAEzGEv.jpg'],1,False,2,1,0,[],11:43:32,0.0,0.815,0.185,0.6124
1427,1324678592358281216,1324633440084320256,1604662962000.0,2020-11-06,Budget 2021: Milk provision under Food Supplementation Programme increased to every school day compared to twice a week  @tzafrul_aziz @MOFmalaysia #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/HJTjE8QjlT,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324678592358281216,[],['https://pbs.twimg.com/media/EmI0JLnU4AAuTjC.jpg'],1,False,5,1,1,[],11:42:42,0.0,0.916,0.084,0.2732
1429,1324678304729866242,1324633440084320256,1604662893000.0,2020-11-06,Budget 2021: Education Ministry gets highest allocation at RM50.4 billion or 15.6 per cent of overall government expenditure  @tzafrul_aziz @MOFmalaysia #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/HPXWXIUBTg,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324678304729866242,[],['https://pbs.twimg.com/media/EmIz49mU4AEhuHZ.jpg'],1,False,6,1,1,[],11:41:33,0.0,1.0,0.0,0.0
1433,1324678050571640832,1324633440084320256,1604662833000.0,2020-11-06,Budget 2021: MCMC to allocate RM7.4 billion for 2021 and 2022 to expand broadband network  @tzafrul_aziz @MOFmalaysia #Budget2021  #BudgetDay  #Belanjawan2021 #BernamaBudget21  https://t.co/DEnWhkXwGm,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,11,https://twitter.com/bernamadotcom/status/1324678050571640832,[],['https://pbs.twimg.com/media/EmIzp8_VcAEKytF.png'],1,False,2,2,0,[],11:40:33,0.0,0.901,0.099,0.3182
1435,1324677933932421121,1324677933932421121,1604662805000.0,2020-11-06,"The Finance Minister announced the extension for tax exemption for deposits up to RM8,000 for SSPN savings. #Budget2021 #Belanjawan2021  https://t.co/jmjbqfXr2e",en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,5,11,https://twitter.com/staronline/status/1324677933932421121,['https://www.thestar.com.my/news/nation/2020/11/06/ptptn-hails-tax-exemption-for-sspn-deposits'],[],0,False,11,0,0,[],11:40:05,0.0,1.0,0.0,0.0
1436,1324677839308779522,1324677839308779522,1604662782000.0,2020-11-06,#NSTnation The government has allocated RM2.7 billion to improve infrastructure in rural areas.   https://t.co/AotNAwKAKL  Read here:  https://t.co/RKHIhaz54P  #NSTbudget2021 #Budget2021 #Belanjawan2021 #Bajet2021,en,"['nstnation', 'nstbudget2021', 'budget2021', 'belanjawan2021', 'bajet2021']",55186601,NST_Online,New Straits Times,5,11,https://twitter.com/NST_Online/status/1324677839308779522,"['http://youtu.be/OWrRgscgT-w', 'https://www.nst.com.my/news/government-public-policy/2020/11/638778/2021-budget-rm27b-allocated-rural-infrastructure-nsttv']",[],0,False,4,0,1,[],11:39:42,0.0,0.873,0.127,0.4404
